Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Time,Location,Instructor,
"Fall 2010","Regular Academic Session","Information","36127","Information (SI)"," 501","009","Contextual Inq","DIS","PDRW","","T","","","","","","5-7PM","414 DENN","Schulz",
"Fall 2010","Regular Academic Session","Information","36129","Information (SI)"," 501","010","Contextual Inq","LEC","AD  ","","","","","F","","","830-1030AM","AUD D AH","Faniel",
"Fall 2010","Regular Academic Session","Information","36131","Information (SI)"," 501","011","Contextual Inq","DIS","PDRW","","","","","F","","","930-1130AM","2401 MH","Antracoli",
"Fall 2010","Regular Academic Session","Information","36133","Information (SI)"," 501","012","Contextual Inq","DIS","PDRW","","","","","F","","","930-1130AM","2469 MH","Quinones",
"Fall 2010","Regular Academic Session","Information","39699","Information (SI)"," 501","013","Contextual Inq","DIS","PDRW","","","","","F","","","930-1130AM","2468 MH","Donaldson",
"Fall 2010","Regular Academic Session","Information","36135","Information (SI)"," 502","001","Net Computing","LEC","A   ","","","W","","","","","6-9PM","2255 NQ","Severance",
"Fall 2010","Regular Academic Session","Information","36137","Information (SI)"," 502","002","Net Computing","DIS","P RW","","","W","","","","","10-1130AM","2185 NQ","Holman",
"Fall 2010","Regular Academic Session","Information","36139","Information (SI)"," 502","003","Net Computing","DIS","P RW","","T","","","","","","230-4PM","2185 NQ","Kim",
"Fall 2010","Regular Academic Session","Information","36141","Information (SI)"," 502","004","Net Computing","DIS","P RW","","T","","","","","","830-10AM","2245 NQ","Kim",
"Fall 2010","Regular Academic Session","Information","45058","Information (SI)"," 502","005","Net Computing","LEC","A   ","","","","","F","","","1-4PM","1255 NQ","Severance",
"Fall 2010","Regular Academic Session","Information","36143","Information (SI)"," 502","006","Net Computing","DIS","P RW","M","","","","","","","830-10AM","2185 NQ","Holman",
"Fall 2010","Regular Academic Session","Information","36145","Information (SI)"," 502","007","Net Computing","DIS","P RW","","","W","","","","","830-10AM","2245 NQ","Li",
"Fall 2010","Regular Academic Session","Information","49614","Information (SI)"," 502","008","Net Computing","DIS","P RW","","T","","","","","","6-730PM","2185 NQ","Li",
"Fall 2010","Regular Academic Session","Information","36329","Information (SI)"," 507","001","Foundations of Info","SEM","P RW","","T","","","","","","830-1130AM","2185 NQ","Jackson",
"Fall 2010","Regular Academic Session","Information","36245","Information (SI)"," 508","001","Networks","LEC","P RW","M","","","","","","","4-530PM","1255 NQ","Mei",
"Fall 2010","Regular Academic Session","Information","","Information (SI)"," 508","","Networks","LEC","P RW","","","W","","","","","4-530PM","1255 NQ","",
"Fall 2010","Regular Academic Session","Information","31967","Information (SI)"," 519","001","Intel Prop&Info Law","SEM","P RW","","","W","","","","","1-4PM","1255 NQ","Litman",
"Fall 2010","Regular Academic Session","Information","38969","Information (SI)"," 520","001","Graphic Design","LEC","P RW","","","W","","","","","12-3PM","1570 CCL","Godin",
"Fall 2010","Regular Academic Session","Information","39063","Information (SI)"," 523","001","Info & Control","LEC","P RW","","","","TH","","","","6-9PM","2245 NQ","King",
"Fall 2010","Regular Academic Session","Information","39209","Information (SI)"," 528","001","Records Management","LEC","P RW","","","","","F","","","830-1130AM","2185 NQ","Wallace",
"Fall 2010","Regular Academic Session","Information","49385","Information (SI)"," 529","001","eCommunities","LEC","P RW","M","","","","","","","830-1130AM","2245 NQ","Resnick",
"Fall 2010","Regular Academic Session","Information","38971","Information (SI)"," 531","001","Human Inter Info Ret","LEC","P RW","","T","","","","","","1-4PM","2245 NQ","Rieh",
"Fall 2010","Regular Academic Session","Information","43989","Information (SI)"," 534","001","Theories Soc Influen","LEC","P RW","M","","","","","","","1-4PM","2245 NQ","Krupka",
"Fall 2010","Regular Academic Session","Information","27253","Information (SI)"," 539","001","Des of Comp Websites","LEC","A  W","","","","","F","","","830-1130AM","2255 NQ","",
"Fall 2010","Regular Academic Session","Information","34373","Information (SI)"," 539","002","Des of Comp Websites","LAB","P RW","","","","","F","","","4-530PM","2245 NQ","Severance",
"Fall 2010","Regular Academic Session","Information","","Information (SI)"," 539","","Des of Comp Websites","LAB","P RW","","","W","","","","","10-1130AM","2245 NQ","",
"Fall 2010","Regular Academic Session","Information","36333","Information (SI)"," 543","001","Programming I","LEC","A  W","","T","","TH","","","","10-1130AM","1255 NQ","Van Lent",
"Fall 2010","Regular Academic Session","Information","37315","Information (SI)"," 543","002","Programming I","DIS","P RW","","T","","","","","","1-2PM","2185 NQ","Van Lent",
"Fall 2010","Regular Academic Session","Information","44961","Information (SI)"," 544","001","Intr Stat&Data Analy","LEC","P RW","","T","","TH","","","","830-10AM","1255 NQ","Adamic",
"Fall 2010","Regular Academic Session","Information","42651","Information (SI)"," 546","001","Personal Privacy","LEC","P RW","M","","W","","","","","4-530PM","ARR","Blumenthal",
"Fall 2010","Regular Academic Session","Information","27733","Information (SI)"," 549","001","Trfrm Lrng Tchg Tech","SEM","P R ","","","W","","","","","9-12PM","4212 SEB","Fishman",
"Fall 2010","Second 7 Week Session","Information","36037","Information (SI)"," 562","001","Microecon Inf Prof","LEC","P RW","","T","","TH","","","","230-4PM","2255 NQ","Sami",
"Fall 2010","First 7 Week Session","Information","36039","Information (SI)"," 563","001","Game Theory","LEC","P RW","","T","","TH","","","","230-4PM","2255 NQ","Sami",
"Fall 2010","Regular Academic Session","Information","38979","Information (SI)"," 572","001","Database App Design","LEC","P RW","","T","","","","","","4-7PM","1255 NQ","Van Lent",
"Fall 2010","Regular Academic Session","Information","11793","Information (SI)"," 575","001","CI Seminar","LEC","P RW","","","","","F","","","1130-1PM","1255 NQ","Atkins III",
"Fall 2010","Regular Academic Session","Information","34017","Information (SI)"," 579","001","Gov Info&Policy","LEC","P RW","","","","TH","","","","1-4PM","2245 NQ","Rosenberg",
"Fall 2010","Regular Academic Session","Information","11795","Information (SI)"," 580","001","Records & Archives","LEC","P RW","","T","","","","","","1-4PM","1255 NQ","Wallace",
"Fall 2010","First 7 Week Session","Information","36243","Information (SI)"," 581","001","Preservation Admin","LEC","A   ","","","W","","","","","830-10AM","2255 NQ","Zachary",
"Fall 2010","First 7 Week Session","Information","39493","Information (SI)"," 581","002","Preservation Admin","DIS","P RW","","","W","","","","","10-1130AM","2255 NQ","Zachary",
"Fall 2010","First 7 Week Session","Information","42525","Information (SI)"," 581","003","Preservation Admin","DIS","P RW","","","W","","","","","1-230PM","2245 NQ","Zachary",
"Fall 2010","Regular Academic Session","Information","11797","Information (SI)"," 586","001","Mus Bibliogr","SEM","PIRW","","T","","TH","","","","830-10AM","2044 SM","Platte",
"Fall 2010","First 7 Week Session","Information","46666","Information (SI)"," 603","001","Ec of Sust Digtl Inf","LEC","P RW","M","","","","","","","530-830PM","1155 NQ","Yakel",
"Fall 2010","Regular Academic Session","Information","11799","Information (SI)"," 624","001","Media Chld&Yng Adlt","LEC","P RW","M","","","","","","","530-830PM","2255 NQ","Fontichiaro",
"Fall 2010","Regular Academic Session","Information","44954","Information (SI)"," 626","001","Manage Nonprofit Lib","LEC","P RW","","","W","","","","","6-9PM","1255 NQ","Veinot",
"Fall 2010","Regular Academic Session","Information","11801","Information (SI)"," 629","001","Access Sys Archives","LEC","P RW","M","","","","","","","830-1130AM","2255 NQ","Yakel",
"Fall 2010","Regular Academic Session","Information","42535","Information (SI)"," 631","001","Content Managemt Sys","LEC","P RW","M","","","","","","","4-530PM","2245 NQ","Sami, Hess",
"Fall 2010","Regular Academic Session","Information","45124","Information (SI)"," 633","001","Hist of Books&Print","LEC","P RW","","T","","","","","","530-830PM","2245 NQ","Burde",
"Fall 2010","Regular Academic Session","Information","42777","Information (SI)"," 634","001","Appl Pltfrm Config","LEC","P RW","M","","","","","","","530-7PM","2245 NQ","Hess",
"Fall 2010","Regular Academic Session","Information","42537","Information (SI)"," 635","001","Appl Pltfrm Custom","LEC","P RW","M","","","","","","","7-830PM","2245 NQ","Hess",
"Fall 2010","Regular Academic Session","Information","27157","Information (SI)"," 637","001","Res Sem on Arch&Inst","LEC","P RW","","","W","","","","","1-4PM","2185 NQ","Frost",
"Fall 2010","Regular Academic Session","Information","44955","Information (SI)"," 640","001","Digital Lib & Archiv","LEC","P RW","","T","","","","","","830-1130AM","2255 NQ","Conway",
"Fall 2010","Regular Academic Session","Information","11803","Information (SI)"," 641","001","Inf Lit for Teaching","LEC","P RW","","","W","","","","","830-1130AM","1255 NQ","Mbabu",
"Fall 2010","Regular Academic Session","Information","49575","Information (SI)"," 642","001","Concepts in Hlth Inf","LEC","P   ","","","","","F","","","2-5PM","2062 PALM","Zheng",
"Fall 2010","Second 7 Week Session","Information","44956","Information (SI)"," 644","001","Adv Preservation Adm","LEC","P RW","M","","","","","","","530-830PM","1255 NQ","Yakel",
"Fall 2010","Regular Academic Session","Information","11805","Information (SI)"," 647","001","Info Resources&Serv","LEC","P RW","M","","","","","","","1-4PM","2255 NQ","Rieh",
"Fall 2010","Regular Academic Session","Information","44957","Information (SI)"," 649","001","Info Visualization","LEC","P RW","","","","","F","","","2-5PM","2255 NQ","Adar",
"Fall 2010","Second 7 Week Session","Information","42541","Information (SI)"," 651","001","Physical Treatment","LEC","A  W","","","W","","","","","2-5PM","2245 NQ","Baker, Zachary",
"Fall 2010","Second 7 Week Session","Information","42543","Information (SI)"," 651","002","Physical Treatment","LAB","P RW","","","W","","","","","6-9PM","2245 NQ","Baker, Zachary",
"Fall 2010","Regular Academic Session","Information","36949","Information (SI)"," 663","001","Entrepre Info Indus","LEC","P RW","M","","","","","","","830-1130AM","1255 NQ","Rosenberg",
"Fall 2010","Regular Academic Session","Information","36271","Information (SI)"," 665","001","Online Search&Dbase","LEC","P RW","","","","TH","","","","830-1130AM","2255 NQ","Markey",
"Fall 2010","Regular Academic Session","Information","22887","Information (SI)"," 666","001","Org of Inf Resources","LEC","P RW","","","","","F","","","830-1130AM","2245 NQ","Markey",
"Fall 2010","Second 7 Week Session","Information","33985","Information (SI)"," 679","001","Agg & Pred Markets","LEC","P RW","","T","","TH","","","","10-1130AM","2245 NQ","Sami",
"Fall 2010","Regular Academic Session","Information","30237","Information (SI)"," 681","001","Intern/Field Seminar","SEM","PIR ","","","","","","","","ARR","ARR","Kroll",
"Fall 2010","Regular Academic Session","Information","11807","Information (SI)"," 682","001","Interface&Interact","LEC","P RW","","","W","","","","","6-9PM","ARR","McQuaid",
"Fall 2010","Regular Academic Session","Information","39785","Information (SI)"," 682","002","Interface&Interact","LEC","P RW","M","","","","","","","1-4PM","ARR","McQuaid",
"Fall 2010","Regular Academic Session","Information","42545","Information (SI)"," 688","001","Fundamntls Hum Beh","LEC","P RW","","","","TH","","","","1-4PM","1255 NQ","Newman",
"Fall 2010","Regular Academic Session","Information","44958","Information (SI)"," 689","001","Comp Supported Coop","LEC","P RW","","","","TH","","","","6-9PM","1255 NQ","Ackerman",
"Fall 2010","Regular Academic Session","Information","11809","Information (SI)"," 690","001","Intern/Field Exper","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Information","49351","Information (SI)"," 690","013","Intern/Field Exper","IND"," I  ","","","","","","","","ARR","ARR","Hedstrom",
"Fall 2010","Regular Academic Session","Information","49174","Information (SI)"," 690","021","Intern/Field Exper","IND"," I  ","","","","","","","","ARR","ARR","MacKie-Mason",
"Fall 2010","Regular Academic Session","Information","11811","Information (SI)"," 702","001","Sem Orgnztl St","SEM","P RW","","","","","F","","","130-3PM","K1310 BUS","Davis, Cohen",
"Fall 2010","Regular Academic Session","Information","36523","Information (SI)"," 703","001","Foundations of Info","SEM","P RW","","T","","","","","","830-1130AM","ARR","Jackson",
"Fall 2010","Regular Academic Session","Information","49279","Information (SI)"," 708","001","Netwrk Thry Cmplxsys","LEC","P RW","M","","W","","","","","4-530PM","ARR","Mei",
"Fall 2010","Regular Academic Session","Information","45584","Information (SI)"," 719","001","Science Tech&Med","REC","P  W","M","","","","","","","1-4PM","2427 MH","Hecht, Edwards",
"Fall 2010","Regular Academic Session","Information","36223","Information (SI)"," 729","001","Access Sys Archives","LEC","P RW","M","","","","","","","830-1130AM","ARR","Yakel",
"Fall 2010","Regular Academic Session","Information","27159","Information (SI)"," 737","001","Res Sem on Arch&Inst","LEC","P RW","","","W","","","","","1-4PM","ARR","Frost",
"Fall 2010","Regular Academic Session","Information","50689","Information (SI)"," 740","001","Digital Lib & Archiv","LEC","P   ","","T","","","","","","830-1130AM","ARR","Conway",
"Fall 2010","Regular Academic Session","Information","45040","Information (SI)"," 749","001","Info Visualization","LEC","P R ","","","","","F","","","2-5PM","ARR","Adar",
"Fall 2010","Regular Academic Session","Information","44117","Information (SI)"," 754","001","Special Topics","LEC","P RW","M","","","","","","","5-8PM","2185 NQ","Hedstrom",
"Fall 2010","Regular Academic Session","Information","45039","Information (SI)"," 789","001","Comp Supported Coop","LEC","P R ","","","","TH","","","","6-9PM","ARR","Ackerman",
"Fall 2010","Regular Academic Session","Information","11813","Information (SI)"," 791","001","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Information","50131","Information (SI)"," 791","003","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","Newman",
"Fall 2010","Regular Academic Session","Information","49624","Information (SI)"," 791","026","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","Holland",
"Fall 2010","Regular Academic Session","Information","49788","Information (SI)"," 791","035","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","Veinot",
"Fall 2010","Regular Academic Session","Information","48215","Information (SI)"," 791","052","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","Frost",
"Fall 2010","Regular Academic Session","Information","48214","Information (SI)"," 791","059","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","Jackson",
"Fall 2010","Regular Academic Session","Information","51444","Information (SI)"," 791","065","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","Mei",
"Fall 2010","Regular Academic Session","Information","51332","Information (SI)"," 791","066","Independent Study","IND"," I  ","","","","","","","","ARR","ARR","Adar",
"Fall 2010","Regular Academic Session","Information","27003","Information (SI)"," 840","001","Sem-Res Methods","SEM","PIRW","","","","","F","","","3-6PM","ARR","Ackerman",
"Fall 2010","Regular Academic Session","Information","36687","Information (SI)"," 990","001","Diss-Precand","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Information","47975","Information (SI)"," 990","008","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Edwards",
"Fall 2010","Regular Academic Session","Information","47971","Information (SI)"," 990","010","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Adamic",
"Fall 2010","Regular Academic Session","Information","47983","Information (SI)"," 990","012","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Yakel",
"Fall 2010","Regular Academic Session","Information","47977","Information (SI)"," 990","013","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Hedstrom",
"Fall 2010","Regular Academic Session","Information","47974","Information (SI)"," 990","014","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Conway",
"Fall 2010","Regular Academic Session","Information","47979","Information (SI)"," 990","021","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","MacKie-Mason",
"Fall 2010","Regular Academic Session","Information","47973","Information (SI)"," 990","027","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Cohen",
"Fall 2010","Regular Academic Session","Information","47980","Information (SI)"," 990","028","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Resnick",
"Fall 2010","Regular Academic Session","Information","47972","Information (SI)"," 990","029","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Chen",
"Fall 2010","Regular Academic Session","Information","47976","Information (SI)"," 990","030","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Finholt",
"Fall 2010","Regular Academic Session","Information","47982","Information (SI)"," 990","031","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Teasley",
"Fall 2010","Regular Academic Session","Information","47970","Information (SI)"," 990","047","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Ackerman",
"Fall 2010","Regular Academic Session","Information","47981","Information (SI)"," 990","056","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Rieh",
"Fall 2010","Regular Academic Session","Information","47978","Information (SI)"," 990","059","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Jackson",
"Fall 2010","Regular Academic Session","Information","36689","Information (SI)"," 995","001","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Information","47989","Information (SI)"," 995","008","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Edwards",
"Fall 2010","Regular Academic Session","Information","47985","Information (SI)"," 995","010","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Adamic",
"Fall 2010","Regular Academic Session","Information","47997","Information (SI)"," 995","012","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Yakel",
"Fall 2010","Regular Academic Session","Information","47995","Information (SI)"," 995","013","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Hedstrom",
"Fall 2010","Regular Academic Session","Information","47988","Information (SI)"," 995","014","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Conway",
"Fall 2010","Regular Academic Session","Information","50050","Information (SI)"," 995","015","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Durrance",
"Fall 2010","Regular Academic Session","Information","47992","Information (SI)"," 995","021","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","MacKie-Mason",
"Fall 2010","Regular Academic Session","Information","47987","Information (SI)"," 995","027","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Cohen",
"Fall 2010","Regular Academic Session","Information","47993","Information (SI)"," 995","028","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Resnick",
"Fall 2010","Regular Academic Session","Information","47986","Information (SI)"," 995","029","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Chen",
"Fall 2010","Regular Academic Session","Information","47990","Information (SI)"," 995","030","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Finholt",
"Fall 2010","Regular Academic Session","Information","47996","Information (SI)"," 995","031","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Teasley",
"Fall 2010","Regular Academic Session","Information","47984","Information (SI)"," 995","047","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Ackerman",
"Fall 2010","Regular Academic Session","Information","47994","Information (SI)"," 995","056","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Rieh",
"Fall 2010","Regular Academic Session","Information","47991","Information (SI)"," 995","059","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Jackson",
"Fall 2010","Regular Academic Session","Kinesiology","27387","Athletic Training (AT)"," 200","001","Clin Exp Ath Train A","LEC","PIRW","M","","","","","","","7-9PM","4151 USB","Czajka",
"Fall 2010","Regular Academic Session","Kinesiology","31779","Athletic Training (AT)"," 210","001","Clin Eval-UE AT Inj","LEC","PIRW","","T","","TH","","","","10-1130AM","3050 CCRB","Palmieri-Smith",
"Fall 2010","Regular Academic Session","Kinesiology","31781","Athletic Training (AT)"," 212","001","Clin Eval-UE AT Inj","LAB","PIRW","","","","","F","","","8-10AM","3040 CCRB","Klykken",
"Fall 2010","Regular Academic Session","Kinesiology","44934","Athletic Training (AT)"," 218","001","Emergency Response","LEC","P  W","","T","","TH","","","","10-1130AM","3275 CCRB","Harris",
"Fall 2010","Regular Academic Session","Kinesiology","27389","Athletic Training (AT)"," 300","001","Clin Exp Ath Train C","LEC","P RW","M","","","","","","","7-9PM","ARR","Czajka",
"Fall 2010","Regular Academic Session","Kinesiology","45558","Athletic Training (AT)"," 313","001","Special Topics","LEC","A  W","","T","","TH","","","","1130-1PM","3733 CCRB","McLean",
"Fall 2010","Regular Academic Session","Kinesiology","46294","Athletic Training (AT)"," 313","002","Special Topics","LAB","P RW","M","","","","","","","11-1PM","3050 CCRB","Beaulieu",
"Fall 2010","Regular Academic Session","Kinesiology","44933","Athletic Training (AT)"," 326","001","Fund of Strngth&Cond","LEC","P RW","M","","W","","","","","10-1130AM","3733 CCRB","Pickerman",
"Fall 2010","Regular Academic Session","Kinesiology","30213","Athletic Training (AT)"," 350","001","Therap Modalities","LEC","P RW","","","W","","F","","","830-10AM","3050 CCRB","Czajka",
"Fall 2010","Regular Academic Session","Kinesiology","31783","Athletic Training (AT)"," 352","001","Therapeutic Mod Lab","LAB","P RW","M","","","","","","","8-10AM","ARR","Shinavier Jr",
"Fall 2010","Regular Academic Session","Kinesiology","20141","Athletic Training (AT)"," 360","001","Rehab Ath Injuries","LEC","P RW","","T","","TH","","","","830-10AM","3100 OBL","Czajka",
"Fall 2010","Regular Academic Session","Kinesiology","31789","Athletic Training (AT)"," 362","001","Rehab Athlet Inj Lab","LAB","P RW","","","","","F","","","10-12PM","3040 CCRB","Klykken",
"Fall 2010","Regular Academic Session","Kinesiology","27391","Athletic Training (AT)"," 400","001","Clin Exp Ath Train E","LEC","P RW","M","","","","","","","7-9PM","ARR","Czajka",
"Fall 2010","Regular Academic Session","Kinesiology","27129","Athletic Training (AT)"," 403","001","Internship in AT","LAB","PD  ","","","","","","","","ARR","ARR","Reck",
"Fall 2010","Regular Academic Session","Kinesiology","30219","Athletic Training (AT)"," 410","001","AT Admin","LEC","P RW","M","","W","","","","","830-10AM","3040 CCRB","Mendias",
"Fall 2010","Regular Academic Session","Kinesiology","33433","Athletic Training (AT)"," 488","001","Ind Study AT","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Kinesiology","43331","Kinesiology (KINESLGY)"," 302","001","Kines Study Abroad","LEC","PI W","","","","","","","","ARR","ARR","Wiley",
"Fall 2010","Regular Academic Session","Kinesiology","43333","Kinesiology (KINESLGY)"," 302","002","Kines Study Abroad","LEC","PI W","","","","","","","","ARR","ARR","Wiley",
"Fall 2010","Regular Academic Session","Kinesiology","43335","Kinesiology (KINESLGY)"," 302","003","Kines Study Abroad","LEC","PI W","","","","","","","","ARR","ARR","Wiley",
"Fall 2010","Regular Academic Session","Kinesiology","43337","Kinesiology (KINESLGY)"," 302","004","Kines Study Abroad","LEC","PI W","","","","","","","","ARR","ARR","Wiley",
"Fall 2010","Regular Academic Session","Kinesiology","33527","Kinesiology (KINESLGY)"," 402","001","Teach Exper","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Kinesiology","20229","Kinesiology (KINESLGY)"," 414","001","Dir Teach Sem","LEC","P RW","","","W","","","","","4-6PM","2100 OBL","VanVolkinburg",
"Fall 2010","Regular Academic Session","Kinesiology","20231","Kinesiology (KINESLGY)"," 415","001","Dir Teach P E","LAB","P RW","","","","","","","","ARR","ARR","VanVolkinburg",
"Fall 2010","Regular Academic Session","Kinesiology","45325","Kinesiology (KINESLGY)"," 421","001","Disord Vol Move","LEC","P RW","M","","W","","","","","4-530PM","3040 CCRB","Brown",
"Fall 2010","Regular Academic Session","Kinesiology","45329","Kinesiology (KINESLGY)"," 423","001","Sensorimot Dev","LEC","P RW","M","","W","","","","","230-4PM","3040 CCRB","Ulrich",
"Fall 2010","Regular Academic Session","Kinesiology","20233","Kinesiology (KINESLGY)"," 425","001","Motor Beh&Dev Dis","LEC","P RW","M","","W","","","","","1-230PM","3735 CCRB","Ulrich",
"Fall 2010","Regular Academic Session","Kinesiology","20235","Kinesiology (KINESLGY)"," 429","001","Lab Mtr Cnt Dev","LAB","PI  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Kinesiology","20237","Kinesiology (KINESLGY)"," 429","002","Lab Mtr Cnt Dev","LAB","PI  ","","","","","","","","ARR","ARR","Ulrich",
"Fall 2010","Regular Academic Session","Kinesiology","31371","Kinesiology (KINESLGY)"," 429","003","Lab Mtr Cnt Dev","LAB","PI  ","","","","","","","","ARR","ARR","Ulrich",
"Fall 2010","Regular Academic Session","Kinesiology","28979","Kinesiology (KINESLGY)"," 429","004","Lab Mtr Cnt Dev","LAB","PI  ","","","","","","","","ARR","ARR","Seidler",
"Fall 2010","Regular Academic Session","Kinesiology","31351","Kinesiology (KINESLGY)"," 429","005","Lab Mtr Cnt Dev","LAB","PI  ","","","","","","","","ARR","ARR","Brown",
"Fall 2010","Regular Academic Session","Kinesiology","36981","Kinesiology (KINESLGY)"," 429","006","Lab Mtr Cnt Dev","LAB","PI  ","","","","","","","","ARR","ARR","McLean",
"Fall 2010","Regular Academic Session","Kinesiology","34043","Kinesiology (KINESLGY)"," 439","001","Lab Biomechanic","LAB","PI  ","","","","","","","","ARR","ARR","Ferris",
"Fall 2010","Regular Academic Session","Kinesiology","22913","Kinesiology (KINESLGY)"," 439","002","Lab Biomechanic","LAB","PI  ","","","","","","","","ARR","ARR","Gross",
"Fall 2010","Regular Academic Session","Kinesiology","36983","Kinesiology (KINESLGY)"," 439","003","Lab Biomechanic","LAB","PI  ","","","","","","","","ARR","ARR","Palmieri-Smith",
"Fall 2010","Regular Academic Session","Kinesiology","37949","Kinesiology (KINESLGY)"," 439","004","Lab Biomechanic","LAB","PI  ","","","","","","","","ARR","ARR","McLean",
"Fall 2010","Regular Academic Session","Kinesiology","38437","Kinesiology (KINESLGY)"," 439","005","Lab Biomechanic","LAB","PI  ","","","","","","","","ARR","ARR","Palmer",
"Fall 2010","Regular Academic Session","Kinesiology","45671","Kinesiology (KINESLGY)"," 442","001","Hormones&Exer","LEC","P RW","","T","","TH","","","","1-230PM","3733 CCRB","Borer",
"Fall 2010","Regular Academic Session","Kinesiology","20239","Kinesiology (KINESLGY)"," 449","001","Lab Exer Phys","LAB","PI  ","","","","","","","","ARR","ARR","Borer",
"Fall 2010","Regular Academic Session","Kinesiology","20241","Kinesiology (KINESLGY)"," 449","002","Lab Exer Phys","LAB","PI  ","","","","","","","","ARR","ARR","Horowitz",
"Fall 2010","Regular Academic Session","Kinesiology","20243","Kinesiology (KINESLGY)"," 449","003","Lab Exer Phys","LAB","PI  ","","","","","","","","ARR","ARR","Katch",
"Fall 2010","Regular Academic Session","Kinesiology","22879","Kinesiology (KINESLGY)"," 449","004","Lab Exer Phys","LAB","PI  ","","","","","","","","ARR","ARR","Cartee",
"Fall 2010","Regular Academic Session","Kinesiology","30851","Kinesiology (KINESLGY)"," 449","005","Lab Exer Phys","LAB","PI  ","","","","","","","","ARR","ARR","Bodary",
"Fall 2010","Regular Academic Session","Kinesiology","43997","Kinesiology (KINESLGY)"," 474","001","Worksite Wellness","LEC","P RW","","T","","TH","","","","830-10AM","3050 CCRB","Edington",
"Fall 2010","Regular Academic Session","Kinesiology","20245","Kinesiology (KINESLGY)"," 475","001","H I V - A I D S","LEC","P RW","","T","","TH","","","","1130-1PM","3040 CCRB","Winkelseth",
"Fall 2010","Regular Academic Session","Kinesiology","46475","Kinesiology (KINESLGY)"," 509","001","Fin Mgmt Spt Indus","LEC","P RW","M","","","","","","","5-8PM","2100 OBL","Winfree",
"Fall 2010","Regular Academic Session","Kinesiology","50694","Kinesiology (KINESLGY)"," 513","002","Experimental Course","LEC","P RW","","","W","","","","","4-7PM","1100 OBL","Rosentraub",
"Fall 2010","Regular Academic Session","Kinesiology","27175","Kinesiology (KINESLGY)"," 514","001","Strat Mngmt in Sport","LEC","P RW","","T","","","","","","330-630PM","2100 OBL","Babiak",
"Fall 2010","Regular Academic Session","Kinesiology","33437","Kinesiology (KINESLGY)"," 519","001","Spt Mgmt in Depth","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Kinesiology","40851","Kinesiology (KINESLGY)"," 540","001","Adv Exerc Phys","LEC","P R ","","","W","","","","","3-6PM","3733 CCRB","Horowitz",
"Fall 2010","Regular Academic Session","Kinesiology","27177","Kinesiology (KINESLGY)"," 550","001","Mkt Mngmtin Sport","SEM","P RW","","","","TH","","","","4-7PM","2100 OBL","Basten",
